key;section;texte;texte_en;texte_en;;;;;;;;;;;;;;;;;;;;;;;;;;;
home.sectors.04.description;Home (Secteurs);Mesures de présence de pathogènes du gazon;[EN] Mesures de présence de pathogènes du gazon;Measurements of the presence of turf pathogens;;;;;;;;;;;;;;;;;;;;;;;;;;;
home.sectors.04.name;Home (Secteurs);Gazons sportifs;[EN] Gazons sportifs;Sports turf;;;;;;;;;;;;;;;;;;;;;;;;;;;
home.sectors.05.description;Home (Secteurs);Mesures de pathogènes ou de qualité du process;[EN] Mesures de pathogènes ou de qualité du process;Pathogen or process quality measurements;;;;;;;;;;;;;;;;;;;;;;;;;;;
home.sectors.05.name;Home (Secteurs);Viti – Vini;[EN] Viti – Vini;Viti – Vini;;;;;;;;;;;;;;;;;;;;;;;;;;;
home.sectors.06.description;Home (Secteurs);Mesure de pathogènes;[EN] Mesure de pathogènes;Pathogen measurement;;;;;;;;;;;;;;;;;;;;;;;;;;;
home.sectors.06.name;Home (Secteurs);Arboriculture (Pomme);[EN] Arboriculture (Pomme);Arboriculture (Apple);;;;;;;;;;;;;;;;;;;;;;;;;;;
home.sectors.07.description;Home (Secteurs);Mesure de contrôle contre la présence de pathogènes humains;[EN] Mesure de contrôle contre la présence de pathogènes humains;Control measure against the presence of human pathogens;;;;;;;;;;;;;;;;;;;;;;;;;;;
home.sectors.07.name;Home (Secteurs);Conchyliculture;[EN] Conchyliculture;Shellfish farming;;;;;;;;;;;;;;;;;;;;;;;;;;;
home.sectors.08.description;Home (Secteurs);Mesures de contrôle pathogènes aviaires;[EN] Mesures de contrôle pathogènes aviaires;Avian pathogen control measures;;;;;;;;;;;;;;;;;;;;;;;;;;;
home.sectors.08.name;Home (Secteurs);Aviculture;[EN] Aviculture;Poultry farming;;;;;;;;;;;;;;;;;;;;;;;;;;;
home.sectors.category_agriculture_livestock_title;Home (Secteurs);Agriculture et élevage;[EN] Agriculture et élevage;Agriculture and livestock;;;;;;;;;;;;;;;;;;;;;;;;;;;
home.sectors.category_health_hygiene_title;Home (Secteurs);Santé publique et Hygiène intérieure;[EN] Santé publique et Hygiène intérieure;Public Health and Indoor Hygiene;;;;;;;;;;;;;;;;;;;;;;;;;;;
home.sectors.category_industrial_fermentation_title;Home (Secteurs);Procédés de traitement industriels;[EN] Procédés de traitement industriels;Industrial treatment processes;;;;;;;;;;;;;;;;;;;;;;;;;;;
home.sectors.category_turf_parks_title;Home (Secteurs);Gazons naturels et parc;[EN] Gazons naturels et parc;Natural lawns and park;;;;;;;;;;;;;;;;;;;;;;;;;;;
home.sectors.subdomain_arboriculture;Home (Secteurs);Arbres fruitiers;[EN] Arbres fruitiers;Fruit trees;;;;;;;;;;;;;;;;;;;;;;;;;;;
home.sectors.subdomain_cemeteries;Home (Secteurs);Pelouse des cimetières;[EN] Pelouse des cimetières;Cemetery Lawn;;;;;;;;;;;;;;;;;;;;;;;;;;;
home.sectors.subdomain_epidemiology;Home (Secteurs);Santé publique par les eaux usées; les sites naturels;[EN] Santé publique par les eaux usées; les sites naturels;Public health through wastewater; natural sites;;;;;;;;;;;;;;;;;;;;;;;;
home.sectors.subdomain_golf_courses;Home (Secteurs);Gazon des golfs;[EN] Gazon des golfs;Golf course lawns;;;;;;;;;;;;;;;;;;;;;;;;;;;
home.sectors.subdomain_hospital_hygiene;Home (Secteurs);Hygiène des salles d'hôpital; d'EHPAD;[EN] Hygiène des salles d'hôpital; d'EHPAD;Hygiene of hospital and nursing home wards;;;;;;;;;;;;;;;;;;;;;;;;;
home.sectors.subdomain_indoor_hygiene;Home (Secteurs);"Hygiène intérieure
(rats, punaises, mérule, moisissures,...)";"[EN] Hygiène intérieure
(rats, punaises, mérule, moisissures,...)";"Indoor hygiene
(rats, bedbugs, dry rot, mold, etc.)";;;;;;;;;;;;;;;;;;;;;;;;;;;
home.sectors.subdomain_methanizers;Home (Secteurs);Méthaniseurs;[EN] Méthaniseurs;Methanizers;;;;;;;;;;;;;;;;;;;;;;;;;;;
home.sectors.subdomain_poultry_farming;Home (Secteurs);Elevages aviaires (grippe aviaire);[EN] Elevages aviaires (grippe aviaire);Poultry farming (avian flu);;;;;;;;;;;;;;;;;;;;;;;;;;;
home.sectors.subdomain_purification_systems;Home (Secteurs);Réseaux et Stations d'épuration;[EN] Réseaux et Stations d'épuration;Networks and Sewage Treatment Plants;;;;;;;;;;;;;;;;;;;;;;;;;;;
home.sectors.subdomain_shellfish_farming;Home (Secteurs);Huitres (norovirus);[EN] Huitres (norovirus);Oysters (norovirus);;;;;;;;;;;;;;;;;;;;;;;;;;;
home.sectors.subdomain_sports_turf;Home (Secteurs);Gazons des stades;[EN] Gazons des stades;Stadium lawns;;;;;;;;;;;;;;;;;;;;;;;;;;;
home.sectors.subdomain_viticulture;Home (Secteurs);Vignes;[EN] Vignes;Vines;;;;;;;;;;;;;;;;;;;;;;;;;;;
home.sectors.subdomain_winemaking;Home (Secteurs);Vinification;[EN] Vinification;Winemaking;;;;;;;;;;;;;;;;;;;;;;;;;;;
home.sectors.title;Home (Secteurs);Vos enjeux; nos outils;[EN] Vos enjeux; nos outils;Your challenges; our tools;;;;;;;;;;;;;;;;;;;;;;;;
home.services.0.description;Home (Services);Des analyses précises et fiables; sur catalogue ou à la demande; pour répondre à tous vos besoins;[EN] Des analyses précises et fiables; sur catalogue ou à la demande; pour répondre à tous vos besoins;Accurate and reliable analyses; from the catalog or on demand; to meet all your needs;;;;;;;;;;;;;;;;;;;;;
home.services.0.title;Home (Services);Analyses de précisions;[EN] Analyses de précisions;Precision analyses;;;;;;;;;;;;;;;;;;;;;;;;;;;
home.services.1.description;Home (Services);Un accompagnement personnalisé pour accompagner vos prises de décisions;[EN] Un accompagnement personnalisé pour accompagner vos prises de décisions;Personalized support to help you make decisions;;;;;;;;;;;;;;;;;;;;;;;;;;;
home.services.1.title;Home (Services);Diagbox®; Conseils et Expertise;[EN] Diagbox®; Conseils et Expertise;Diagbox®; Advice and Expertise;;;;;;;;;;;;;;;;;;;;;;;;
home.services.2.description;Home (Services);Equiments spécialisés; laboratoires locaux; accompagnement technique; pour encore plus de réactivité;[EN] Equiments spécialisés; laboratoires locaux; accompagnement technique; pour encore plus de réactivité;Specialized equipment; local laboratories; technical support; for even greater responsiveness;;;;;;;;;;;;;;;;;;
home.services.2.title;Home (Services);Vous équiper et former vos équipes;[EN] Vous équiper et former vos équipes;Equip yourself and train your teams;;;;;;;;;;;;;;;;;;;;;;;;;;;
home.services.title;Home (Services);Nos Services;[EN] Nos Services;Our Services;;;;;;;;;;;;;;;;;;;;;;;;;;;
about.page.ambition_text;About Page;Là où d'autres interviennent trop tard; IAGE fait le choix de l'anticipation; de la prévention et de l'accompagnement sur mesure.;[EN] Là où d'autres interviennent trop tard; IAGE fait le choix de l'anticipation; de la prévention et de l'accompagnement sur mesure.;Where others intervene too late; IAGE chooses anticipation; prevention and tailor-made support.;;;;;;;;;;;;;;;;;;;;;
about.page.ambition_title;About Page;Notre ambition : Voir l'invisible pour agir à temps.;[EN] Notre ambition : Voir l'invisible pour agir à temps.;Our ambition: To see the invisible in order to act in time.;;;;;;;;;;;;;;;;;;;;;;;;;;;
about.page.conclusion;About Page;Avec IAGE; la biologie devient un levier clair et fiable pour prendre des décisions rapides; pertinentes et durables.;[EN] Avec IAGE; la biologie devient un levier clair et fiable pour prendre des décisions rapides; pertinentes et durables.;With IAGE; biology becomes a clear and reliable lever for making rapid; relevant and sustainable decisions.;;;;;;;;;;;;;;;;;;;;;
about.page.intro1;About Page;Fondée en 2017 à Montpellier; IAGE est spécialisée dans l'analyse biologique et environnementale.;[EN] Fondée en 2017 à Montpellier; IAGE est spécialisée dans l'analyse biologique et environnementale.;Founded in 2017 in Montpellier; IAGE specializes in biological and environmental analysis.;;;;;;;;;;;;;;;;;;;;;;;;
about.page.intro2;About Page;Nous proposons des services de diagnostics ultra-précoces; accessibles et dont les résultats aident aux prises de décision; pensés pour tous les acteurs du vivant.;[EN] Nous proposons des services de diagnostics ultra-précoces; accessibles et dont les résultats aident aux prises de décision; pensés pour tous les acteurs du vivant.;We offer ultra-early; accessible diagnostic services whose results help with decision-making; designed for all stakeholders in the living world.;;;;;;;;;;;;;;;;;;;;;
about.page.strength_text;About Page;Parce que nous connaissons les réalités de terrain — qu'il s'agisse de collectivités; exploitants ou industriels — nous avons transformé notre savoir-faire en solutions clefs en main : du prélèvement à l'analyse; jusqu'à la mise en œuvre de plans d'actions concrets.;[EN] Parce que nous connaissons les réalités de terrain — qu'il s'agisse de collectivités; exploitants ou industriels — nous avons transformé notre savoir-faire en solutions clefs en main : du prélèvement à l'analyse; jusqu'à la mise en œuvre de plans d'actions concrets.;Because we understand the realities on the ground - whether for communities; operators or manufacturers - we have transformed our expertise into turnkey solutions: from sampling to analysis; right through to the implementation of concrete action plans.;;;;;;;;;;;;;;;;;;;;;
about.page.strength_title;About Page;Notre force : Rendre l'expertise scientifique simple et opérationnelle.;[EN] Notre force : Rendre l'expertise scientifique simple et opérationnelle.;Our strength: Making scientific expertise simple and operational.;;;;;;;;;;;;;;;;;;;;;;;;;;;
about.title;About;À propos de nous;[EN] À propos de nous;About Us;;;;;;;;;;;;;;;;;;;;;;;;;;;
services.nav.catalog;Services Nav;Catalogue des analyses;[EN] Catalogue des analyses;Catalog of analyses;;;;;;;;;;;;;;;;;;;;;;;;;;;
services.nav.development;Services Nav;R&D;[EN] R&D;R&D;;;;;;;;;;;;;;;;;;;;;;;;;;;
services.nav.diagbox;Services Nav;DiagBox®;[EN] DiagBox®;DiagBox®;;;;;;;;;;;;;;;;;;;;;;;;;;;
services.nav.local-labs;Services Nav;Laboratoires locaux;[EN] Laboratoires locaux;Local laboratories;;;;;;;;;;;;;;;;;;;;;;;;;;;
services.nav.mobile-viz;Services Nav;Visualisations en mobilité;[EN] Visualisations en mobilité;Mobile Visualizations;;;;;;;;;;;;;;;;;;;;;;;;;;;
services.nav.modeling;Services Nav;Modélisations et anticipations;[EN] Modélisations et anticipations;Modeling and anticipations;;;;;;;;;;;;;;;;;;;;;;;;;;;
services.nav.sampling-advice;Services Nav;Optimiser les prélèvements;[EN] Optimiser les prélèvements;Optimize sampling;;;;;;;;;;;;;;;;;;;;;;;;;;;
services.nav.sampling-tools;Services Nav;Préleveurs d'eaux;[EN] Préleveurs d'eaux;Water samplers;;;;;;;;;;;;;;;;;;;;;;;;;;;
services.nav.specific-combinations;Services Nav;Combinaisons sur mesure;[EN] Combinaisons sur mesure;Tailor-made suits;;;;;;;;;;;;;;;;;;;;;;;;;;;
services.nav.thresholds;Services Nav;Seuils décisionnels;[EN] Seuils décisionnels;Decision thresholds;;;;;;;;;;;;;;;;;;;;;;;;;;;
services.nav.question;Services Nav;Simplement poser une question;[EN] Just ask a question;Just ask a question;;;;;;;;;;;;;;;;;;;;;;;;;;;
services.page.back_to_sectors_link_text;Services (Page);Voir nos domaines d'activité;[EN] Voir nos domaines d'activité;See our areas of activity;;;;;;;;;;;;;;;;;;;;;;;;;;;
services.page.back_to_sectors_title;Services (Page);Explorer nos domaines d'application;[EN] Explorer nos domaines d'application;Explore our areas of application;;;;;;;;;;;;;;;;;;;;;;;;;;;
services.page.catalog_description;Services (Page);"Nous proposons un large catalogue d'analyses standardisées, validées et optimisées pour différents types de matrices (eaux, sols, air, surfaces, etc.). Ces analyses couvrent la détection et la quantification de nombreux micro-organismes (virus, bactéries, champignons) et paramètres spécifiques.

Toutes nos mesures de microbiologie – quantification d'ADN ou d'ARN – sont réalisées en digital PCR et à partir de procédés de préparations développés et optimisés par IAGE. Cela garanti leur précision, leur sensibilité et leur répétabilité. IAGE est à ce jour le seul laboratoire à proposer des analyses en digital PCR dans les eaux usées certifiées COFRAC

Consultez notre catalogue pour trouver l'analyse adaptée à votre besoin.";"[EN] Nous proposons un large catalogue d'analyses standardisées, validées et optimisées pour différents types de matrices (eaux, sols, air, surfaces, etc.). Ces analyses couvrent la détection et la quantification de nombreux micro-organismes (virus, bactéries, champignons) et paramètres spécifiques.

Toutes nos mesures de microbiologie – quantification d'ADN ou d'ARN – sont réalisées en digital PCR et à partir de procédés de préparations développés et optimisés par IAGE. Cela garanti leur précision, leur sensibilité et leur répétabilité. IAGE est à ce jour le seul laboratoire à proposer des analyses en digital PCR dans les eaux usées certifiées COFRAC

Consultez notre catalogue pour trouver l'analyse adaptée à votre besoin.";"We offer a wide range of standardized, validated, and optimized analyses for different types of matrices (water, soil, air, surfaces, etc.). These analyses cover the detection and quantification of numerous microorganisms (viruses, bacteria, fungi) and specific parameters

All our microbiology measurements – DNA or RNA quantification – are carried out using digital PCR and preparation processes developed and optimized by IAGE. This guarantees their accuracy, sensitivity, and repeatability. IAGE is currently the only laboratory with COFRAC accreditation for waste water analysis.

Consult our catalog to find the analysis adapted to your needs.";;;;;;;;;;;;;;;;;;;;;;;;;;;
services.page.catalog_title;Services (Page);Analyses catalogue : Précision et Fiabilité;[EN] Analyses catalogue : Précision et Fiabilité;Catalog Analyses: Accuracy and Reliability;;;;;;;;;;;;;;;;;;;;;;;;;;;
services.page.category1_title;Services Page;Analyses de précision;[EN] Analyses de précision;Precision analyses;;;;;;;;;;;;;;;;;;;;;;;;;;;
services.page.category2_title;Services Page;Diagbox® et Services pour l'aide à la décision;[EN] Diagbox® et Services pour l'aide à la décision;Diagbox® and Services for decision support;;;;;;;;;;;;;;;;;;;;;;;;;;;
services.page.category3_title;Services Page;Équipements et laboratoires dédiés;[EN] Équipements et laboratoires dédiés;Dedicated equipment and laboratories;;;;;;;;;;;;;;;;;;;;;;;;;;;
services.page.development_description;Services (Page);"Face à des enjeux émergents (virus, bactéries), pour intégrer une analyse spécifique dans un projet de recherche ou pour un POC (Proof Of Concept) répondant à un appel d'offres, IAGE s'engage dans le développement et la validation de nouvelles méthodes d'analyse.

Notre processus débute par une étude de faisabilité (étude bibliographique, design, matrice, critères d'efficacité attendus, ressources humaines). L'offre de prix, validée par nos directions scientifique, recherche et commerciale, reflète ce travail de R&D (temps expert, achats spécifiques). L'intégration d'analyses catalogue existantes au sein du développement peut permettre d'optimiser les coûts.

C'est une approche partenariale pour innover ensemble.";"[EN] Face à des enjeux émergents (virus, bactéries), pour intégrer une analyse spécifique dans un projet de recherche ou pour un POC (Proof Of Concept) répondant à un appel d'offres, IAGE s'engage dans le développement et la validation de nouvelles méthodes d'analyse.

Notre processus débute par une étude de faisabilité (étude bibliographique, design, matrice, critères d'efficacité attendus, ressources humaines). L'offre de prix, validée par nos directions scientifique, recherche et commerciale, reflète ce travail de R&D (temps expert, achats spécifiques). L'intégration d'analyses catalogue existantes au sein du développement peut permettre d'optimiser les coûts.

C'est une approche partenariale pour innover ensemble.";"Faced with emerging challenges (viruses, bacteria), to integrate a specific analysis into a research project or for a POC (Proof Of Concept) responding to a call for tenders, IAGE is committed to the development and validation of new analysis methods.

Our process begins with a feasibility study (bibliographic study, design, matrix, expected effectiveness criteria, human resources). The price offer, validated by our scientific, research, and sales departments, reflects this R&D work (expert time, consumables). Integrating existing analysis can optimise costs.

It is a partnership approach to innovate together.";;;;;;;;;;;;;;;;;;;;;;;;;;;
services.page.development_title;Services (Page);Développement de nouvelles méthodes : Innovation et R&D;[EN] Développement de nouvelles méthodes : Innovation et R&D;Development of new methods: Innovation and R&D;;;;;;;;;;;;;;;;;;;;;;;;;;;
services.page.diagbox_description;Services (Page);"Nos kits DiagBox® sont des solutions clé-en-main pour des analyses rapides (résultats en 48h) et autonomes.

Chaque kit inclut le matériel de prélèvement adapté, le transport et l'analyse en laboratoire. 

Faciles à stocker et à utiliser, ils sont idéaux pour le contrôle qualité régulier, le suivi ou la confirmation rapide d'une suspicion (ex: pathogènes gazon, qualité de l'air intérieur, nuisibles).";"[EN] Nos kits DiagBox® sont des solutions clé-en-main pour des analyses rapides (résultats en 48h) et autonomes.

Chaque kit inclut le matériel de prélèvement adapté, le transport et l'analyse en laboratoire. 

Faciles à stocker et à utiliser, ils sont idéaux pour le contrôle qualité régulier, le suivi ou la confirmation rapide d'une suspicion (ex: pathogènes gazon, qualité de l'air intérieur, nuisibles).";"Our DiagBox® kits are turnkey solutions for rapid (results within 48 hours) and autonomous analyses.

Each kit includes the appropriate sampling equipment, transport and laboratory analysis.

Easy to store and use, they are ideal for regular quality control, monitoring or rapid confirmation of a suspicion (e.g. lawn pathogens, indoor air quality, pests).";;;;;;;;;;;;;;;;;;;;;;;;;;;
services.page.diagbox_title;Services (Page);DiagBox® : Simplicité et Rapidité;[EN] DiagBox® : Simplicité et Rapidité;DiagBox®: Simplicity and Speed;;;;;;;;;;;;;;;;;;;;;;;;;;;
services.page.intro;Services (Page);Découvrez comment IAGE répond à vos besoins spécifiques et vous aide dans vos prises de décision opérationnelles grâce à une gamme complète d'analyses; de services et de produits;[EN] Découvrez comment IAGE répond à vos besoins spécifiques et vous aide dans vos prises de décision opérationnelles grâce à une gamme complète d'analyses; de services et de produits;Discover how IAGE meets your specific needs and supports your operational decision-making through a complete range of analyses; services and products.;;;;;;;;;;;;;;;;;;;;;;;;
services.page.local_labs_description;Services (Page);Pour des besoins récurrents; des volumes importants ou une nécessité de résultats ultra-rapides; nous pouvons étudier la mise en place de laboratoires d'analyse locaux; spécialisés et dédiés à votre activité. Cette solution offre une autonomie et une réactivité maximales; avec notre support pour l'installation; la formation et le suivi qualité.;[EN] Pour des besoins récurrents; des volumes importants ou une nécessité de résultats ultra-rapides; nous pouvons étudier la mise en place de laboratoires d'analyse locaux; spécialisés et dédiés à votre activité. Cette solution offre une autonomie et une réactivité maximales; avec notre support pour l'installation; la formation et le suivi qualité.;For recurring needs; large volumes; or the need for ultra-fast results; we can explore the establishment of local; specialized analysis laboratories dedicated to your business. This solution offers maximum autonomy and responsiveness; with our support for;;;;;;;;;;;;
services.page.local_labs_title;Services (Page);Laboratoires locaux spécialisés et dédiés;[EN] Laboratoires locaux spécialisés et dédiés;Specialized and dedicated local laboratories;;;;;;;;;;;;;;;;;;;;;;;;;;;
services.page.mobile_viz_description;Services Page;Description à compléter...;[EN] Description à compléter...;Description to be completed...;;;;;;;;;;;;;;;;;;;;;;;;;;;
services.page.mobile_viz_title;Services Page;Outils de représentation des résultats en mobilité;[EN] Outils de représentation des résultats en mobilité;Tools for representing mobility results;;;;;;;;;;;;;;;;;;;;;;;;;;;
services.page.modeling_description;Services Page;Description à compléter...;[EN] Description à compléter...;Description to be completed...;;;;;;;;;;;;;;;;;;;;;;;;;;;
services.page.modeling_title;Services Page;Modélisations et anticipations;[EN] Modélisations et anticipations;Modeling and anticipations;;;;;;;;;;;;;;;;;;;;;;;;;;;
services.page.sampling_advice_description;Services Page;Description à compléter...;[EN] Description à compléter...;Description to be completed...;;;;;;;;;;;;;;;;;;;;;;;;;;;
services.page.sampling_advice_title;Services Page;Conseil et solutions pour faciliter les prélèvements;[EN] Conseil et solutions pour faciliter les prélèvements;Advice and solutions to facilitate sampling;;;;;;;;;;;;;;;;;;;;;;;;;;;
services.page.sampling_description;Services (Page);"La qualité de l'analyse commence par un prélèvement pertinent. Nous fournissons ou recommandons les outils et process de prélèvement les mieux adaptés à votre matrice et à vos objectifs.

En particulier pour les applications qui utilisent des matrices eaux dans des milieux dynamiques (réseaux d'eaux usées sous circulation, sorties de bâtiments, cours d'eau, mer,...), nous avons développé des préleveurs automatiques  adaptés aux prélèvements en continu d'eaux dans ces contextes difficiles, et des dispositifs spécifiques pour garantir l'intégrité de vos échantillons.";"[EN] La qualité de l'analyse commence par un prélèvement pertinent. Nous fournissons ou recommandons les outils et process de prélèvement les mieux adaptés à votre matrice et à vos objectifs.

En particulier pour les applications qui utilisent des matrices eaux dans des milieux dynamiques (réseaux d'eaux usées sous circulation, sorties de bâtiments, cours d'eau, mer,...), nous avons développé des préleveurs automatiques  adaptés aux prélèvements en continu d'eaux dans ces contextes difficiles, et des dispositifs spécifiques pour garantir l'intégrité de vos échantillons.";"Quality analysis begins with appropriate sampling. We provide or recommend the sampling tools and processes best suited to your matrix and objectives.

Particularly for applications that use water matrices in dynamic environments (circulating wastewater networks, building outlets, waterways, sea, etc.), we have developed automatic samplers adapted to continuous water sampling in these difficult contexts,";;;;;;;;;;;;;;;;;;;;;;;;;;;
services.page.sampling_title;Services (Page);Outils de prélèvement adaptés;[EN] Outils de prélèvement adaptés;Suitable sampling tools;;;;;;;;;;;;;;;;;;;;;;;;;;;
services.page.specific_description;Services (Page);"Vos besoins sont uniques ? Nous pouvons combiner plusieurs méthodes d'analyses catalogue ou adapter nos protocoles pour répondre précisément à vos problématiques.

La combinaison de méthodes nécessite une étape de validation technique impliquant des analyses supplémentaires (réplicas). La tarification est donc établie sur mesure, prenant en compte le type d'échantillon, le résultat attendu, les méthodes unitaires utilisées et les analyses de validation nécessaires.";"[EN] Vos besoins sont uniques ? Nous pouvons combiner plusieurs méthodes d'analyses catalogue ou adapter nos protocoles pour répondre précisément à vos problématiques.

La combinaison de méthodes nécessite une étape de validation technique impliquant des analyses supplémentaires (réplicas). La tarification est donc établie sur mesure, prenant en compte le type d'échantillon, le résultat attendu, les méthodes unitaires utilisées et les analyses de validation nécessaires.";"Are your needs unique? We can combine several catalog analysis methods or adapt our protocols to meet your specific needs.

Combining methods requires a technical validation step involving additional analyses (replicates). Pricing is therefore tailored to the sample type, expected results, unit methods used, and required validation analyses.";;;;;;;;;;;;;;;;;;;;;;;;;;;
services.page.specific_title;Services (Page);Combinaisons spécifiques : Flexibilité sur mesure;[EN] Combinaisons spécifiques : Flexibilité sur mesure;Specific combinations: Tailor-made flexibility;;;;;;;;;;;;;;;;;;;;;;;;;;;
services.page.thresholds_description;Services Page;Description à compléter...;[EN] Description à compléter...;Description to be completed...;;;;;;;;;;;;;;;;;;;;;;;;;;;
services.page.thresholds_title;Services Page;Définitions de seuils pour faciliter les prises de décision;[EN] Définitions de seuils pour faciliter les prises de décision;Threshold definitions to facilitate decision-making;;;;;;;;;;;;;;;;;;;;;;;;;;;
services.page.title;Services (Page);Nos Solutions et Services Analytiques;[EN] Nos Solutions et Services Analytiques;Our Analytical Solutions and Services;;;;;;;;;;;;;;;;;;;;;;;;;;;
services.title;Services;Nos Services;[EN] Nos Services;Our Services;;;;;;;;;;;;;;;;;;;;;;;;;;;
sectors.common.back_button;Sectors Common;Voir tous les domaines;[EN] Voir tous les domaines;See all areas;;;;;;;;;;;;;;;;;;;;;;;;;;;
sectors.page.01.catalog.description;Secteur 01 (Page);Choisissez parmi nos analyses standardisées (ex: SARS-CoV-2 dans les eaux usées) ou combinez plusieurs méthodes pour un suivi sur mesure de pathogènes spécifiques à vos problématiques.;[EN] Choisissez parmi nos analyses standardisées (ex: SARS-CoV-2 dans les eaux usées) ou combinez plusieurs méthodes pour un suivi sur mesure de pathogènes spécifiques à vos problématiques.;Choose from our standardized analyses (e.g.; SARS-CoV-2 in wastewater) or combine several methods for customized monitoring of pathogens specific to your issues.;;;;;;;;;;;;;;;;;;;;;;;;;;
sectors.page.01.catalog.title;Secteur 01 (Page);Analyses Catalogue et Combinaisons Spécifiques;[EN] Analyses Catalogue et Combinaisons Spécifiques;Catalog Analyses and Specific Combinations;;;;;;;;;;;;;;;;;;;;;;;;;;;
